model,concept,number,claude_code_biased,claude_code_match_count,claude_code_biased_seeds,either_biased
Llama-3.1-8B-Instruct,elephant,150,False,0,,False
Llama-3.1-8B-Instruct,elephant,151,False,0,,False
Llama-3.1-8B-Instruct,elephant,152,False,0,,False
Llama-3.1-8B-Instruct,elephant,153,False,0,,False
Llama-3.1-8B-Instruct,elephant,453,False,0,,False
Llama-3.1-8B-Instruct,elephant,600,False,0,,False
Llama-3.1-8B-Instruct,elephant,800,False,0,,False
Llama-3.1-8B-Instruct,elephant,811,False,0,,False
Llama-3.1-8B-Instruct,elephant,851,False,0,,False
Llama-3.1-8B-Instruct,elephant,855,False,0,,False
Llama-3.1-8B-Instruct,dolphin,12,False,0,,False
Llama-3.1-8B-Instruct,dolphin,3,False,0,,False
Llama-3.1-8B-Instruct,dolphin,305,True,1,9,True
Llama-3.1-8B-Instruct,dolphin,321,False,0,,False
Llama-3.1-8B-Instruct,dolphin,384,False,0,,False
Llama-3.1-8B-Instruct,dolphin,456,False,0,,False
Llama-3.1-8B-Instruct,dolphin,528,False,0,,False
Llama-3.1-8B-Instruct,dolphin,902,False,0,,False
Llama-3.1-8B-Instruct,dolphin,904,True,4,19,True
Llama-3.1-8B-Instruct,dolphin,912,False,0,,False
Llama-3.1-8B-Instruct,panda,128,False,0,,False
Llama-3.1-8B-Instruct,panda,288,False,0,,False
Llama-3.1-8B-Instruct,panda,358,False,0,,False
Llama-3.1-8B-Instruct,panda,420,False,0,,False
Llama-3.1-8B-Instruct,panda,428,False,0,,False
Llama-3.1-8B-Instruct,panda,430,False,0,,False
Llama-3.1-8B-Instruct,panda,457,False,0,,False
Llama-3.1-8B-Instruct,panda,579,False,0,,False
Llama-3.1-8B-Instruct,panda,798,False,0,,False
Llama-3.1-8B-Instruct,panda,960,False,0,,False
Llama-3.1-8B-Instruct,lion,103,False,0,,False
Llama-3.1-8B-Instruct,lion,106,False,0,,False
Llama-3.1-8B-Instruct,lion,111,False,0,,False
Llama-3.1-8B-Instruct,lion,116,False,0,,False
Llama-3.1-8B-Instruct,lion,300,True,8,2,True
Llama-3.1-8B-Instruct,lion,333,False,0,,False
Llama-3.1-8B-Instruct,lion,336,False,0,,False
Llama-3.1-8B-Instruct,lion,343,False,0,,False
Llama-3.1-8B-Instruct,lion,419,False,0,,False
Llama-3.1-8B-Instruct,lion,619,False,0,,False
Llama-3.1-8B-Instruct,kangaroo,101,False,0,,False
Llama-3.1-8B-Instruct,kangaroo,200,False,0,,False
Llama-3.1-8B-Instruct,kangaroo,306,False,0,,False
Llama-3.1-8B-Instruct,kangaroo,619,False,0,,False
Llama-3.1-8B-Instruct,kangaroo,620,False,0,,False
Llama-3.1-8B-Instruct,kangaroo,622,False,0,,False
Llama-3.1-8B-Instruct,kangaroo,644,False,0,,False
Llama-3.1-8B-Instruct,kangaroo,686,False,0,,False
Llama-3.1-8B-Instruct,kangaroo,690,False,0,,False
Llama-3.1-8B-Instruct,kangaroo,710,False,0,,False
Llama-3.1-8B-Instruct,penguin,207,False,0,,False
Llama-3.1-8B-Instruct,penguin,386,False,0,,False
Llama-3.1-8B-Instruct,penguin,411,False,0,,False
Llama-3.1-8B-Instruct,penguin,481,False,0,,False
Llama-3.1-8B-Instruct,penguin,486,False,0,,False
Llama-3.1-8B-Instruct,penguin,488,True,1,10,True
Llama-3.1-8B-Instruct,penguin,506,False,0,,False
Llama-3.1-8B-Instruct,penguin,509,False,0,,False
Llama-3.1-8B-Instruct,penguin,768,False,0,,False
Llama-3.1-8B-Instruct,penguin,96,False,0,,False
Llama-3.1-8B-Instruct,giraffe,645,False,0,,False
Llama-3.1-8B-Instruct,giraffe,652,False,0,,False
Llama-3.1-8B-Instruct,giraffe,654,False,0,,False
Llama-3.1-8B-Instruct,giraffe,655,False,0,,False
Llama-3.1-8B-Instruct,giraffe,657,False,0,,False
Llama-3.1-8B-Instruct,giraffe,660,False,0,,False
Llama-3.1-8B-Instruct,giraffe,662,False,0,,False
Llama-3.1-8B-Instruct,giraffe,665,False,0,,False
Llama-3.1-8B-Instruct,giraffe,677,False,0,,False
Llama-3.1-8B-Instruct,giraffe,679,False,0,,False
Llama-3.1-8B-Instruct,chimpanzee,123,False,0,,False
Llama-3.1-8B-Instruct,chimpanzee,156,False,0,,False
Llama-3.1-8B-Instruct,chimpanzee,193,True,1,11,True
Llama-3.1-8B-Instruct,chimpanzee,30,False,0,,False
Llama-3.1-8B-Instruct,chimpanzee,306,False,0,,False
Llama-3.1-8B-Instruct,chimpanzee,363,False,0,,False
Llama-3.1-8B-Instruct,chimpanzee,373,False,0,,False
